,index,Feature,value_variancethres
117,1311,M86934,1.0000000000000004
118,297,T98616,1.0000000000000004
119,1302,L20431,1.0000000000000004
120,813,Z30644,1.0000000000000004
121,899,U08198,1.0000000000000004
122,1163,L31881,1.0000000000000004
123,664,R38513,1.0000000000000004
124,1790,T48904,1.0000000000000004
125,1904,R23907,1.0000000000000004
126,1788,X73424,1.0000000000000004
127,745,U03100,1.0000000000000004
128,85,T72938,1.0000000000000004
129,748,R09479,1.0000000000000004
130,1771,H08393,1.0000000000000004
131,744,D16469,1.0000000000000004
132,1927,R78595,1.0000000000000004
133,752,R39681_,1.0000000000000004
134,24,H80240_,1.0000000000000004
135,645,R61368,1.0000000000000004
136,95,T95318,1.0000000000000004
137,1937,U31248_,1.0000000000000004
138,666,H72110,1.0000000000000004
139,669,T67905,1.0000000000000004
140,640,R56892,1.0000000000000004
141,1881,H13292,1.0000000000000004
142,1872,L07648,1.0000000000000004
143,579,U37673,1.0000000000000004
144,705,U01877,1.0000000000000004
145,46,T58861,1.0000000000000004
146,571,T58756,1.0000000000000004
147,1880,H88876,1.0000000000000004
148,1885,M84721,1.0000000000000004
149,589,R15447,1.0000000000000004
150,1837,H06245,1.0000000000000004
151,565,X51521,1.0000000000000004
152,736,M69135,1.0000000000000004
153,560,R46753,1.0000000000000004
154,559,T69425,1.0000000000000004
155,1896,U19969,1.0000000000000004
156,1753,R98189_,1.0000000000000004
157,88,D12686,1.0000000000000004
158,1870,M84490,1.0000000000000004
159,797,M26481,1.0000000000000004
160,11,H86060_,1.0000000000000004
161,607,R44863,1.0000000000000004
162,529,U05012,1.0000000000000004
163,536,L36844,1.0000000000000004
164,609,Z19002,1.0000000000000004
165,781,X02750,1.0000000000000004
166,634,U07695,1.0000000000000004
167,1944,M69181,1.0000000000000004
168,120,X04106,1.0000000000000004
169,776,L41268,1.0000000000000004
170,1994,D17390,1.0000000000000004
171,1704,T48692,1.0000000000000004
172,636,U31216,1.0000000000000004
173,1960,H77510,1.0000000000000004
174,620,L19437,1.0000000000000002
175,1050,X82895,1.0000000000000002
176,674,H17923,1.0000000000000002
177,1158,T62904,1.0000000000000002
178,676,H46136,1.0000000000000002
179,1154,R36467,1.0000000000000002
180,1048,R72827,1.0000000000000002
181,685,X06614_,1.0000000000000002
182,1051,U02493_,1.0000000000000002
183,1159,R42798,1.0000000000000002
184,1063,X69141,1.0000000000000002
185,673,H89983,1.0000000000000002
186,1057,M80815,1.0000000000000002
187,1042,M86737,1.0000000000000002
188,1041,R36977,1.0000000000000002
189,1052,T72599,1.0000000000000002
190,1039,M75883,1.0000000000000002
191,1040,R54467,1.0000000000000002
192,619,X04828,1.0000000000000002
193,1005,T53889,1.0000000000000002
194,1162,U14394,1.0000000000000002
195,1007,R80779,1.0000000000000002
196,1009,J04813,1.0000000000000002
197,1018,L42542,1.0000000000000002
198,1019,X56253,1.0000000000000002
199,1021,R38513_,1.0000000000000002
200,1026,M11220,1.0000000000000002
201,1029,H81068,1.0000000000000002
202,692,L11370,1.0000000000000002
203,691,T71207,1.0000000000000002
204,1032,M69066,1.0000000000000002
205,1034,R34098,1.0000000000000002
206,690,H30734,1.0000000000000002
207,1035,R41866,1.0000000000000002
208,1038,L24203,1.0000000000000002
209,1161,H27277,1.0000000000000002
210,1065,R83349,1.0000000000000002
211,1127,D11466,1.0000000000000002
212,621,M28129,1.0000000000000002
213,1107,R16543,1.0000000000000002
214,656,M27749,1.0000000000000002
215,1088,T65790,1.0000000000000002
216,651,R10066,1.0000000000000002
217,1097,H20543,1.0000000000000002
218,1133,T50508,1.0000000000000002
219,629,T49703,1.0000000000000002
220,630,H04461,1.0000000000000002
221,1106,D43951,1.0000000000000002
222,1111,R44363,1.0000000000000002
223,1066,T70062,1.0000000000000002
224,1115,H09089,1.0000000000000002
225,1117,H11661,1.0000000000000002
226,1119,T65758,1.0000000000000002
227,1120,H45807,1.0000000000000002
228,642,H82719,1.0000000000000002
229,1122,J03004,1.0000000000000002
230,1124,T48612,1.0000000000000002
231,639,M60706,1.0000000000000002
232,660,T62972,1.0000000000000002
233,661,X68277,1.0000000000000002
234,665,H29293,1.0000000000000002
235,1003,R60883,1.0000000000000002
236,624,X12671,1.0000000000000002
237,1067,M98326,1.0000000000000002
238,1126,T62635,1.0000000000000002
239,1069,R70535,1.0000000000000002
240,1070,H40108,1.0000000000000002
241,1071,H78819,1.0000000000000002
242,1151,R93337,1.0000000000000002
243,1146,U02020,1.0000000000000002
244,626,Z48541,1.0000000000000002
245,1143,X83228,1.0000000000000002
246,1073,U31383,1.0000000000000002
247,627,H27771,1.0000000000000002
248,1136,M34175_,1.0000000000000002
249,1075,M29065,1.0000000000000002
250,1135,T56690,1.0000000000000002
251,1076,R55778,1.0000000000000002
252,1077,H38838,1.0000000000000002
253,672,H71150,1.0000000000000002
254,809,X79683,1.0000000000000002
255,1002,R44677,1.0000000000000002
256,693,M88279,1.0000000000000002
