,index,Feature,value_MI
163,756,T79595,0.1152672552616038626
164,1540,R42127,0.1152346299256228335
165,488,X72727,0.1148111204507549221
166,915,H04311,0.1146375758012794233
167,53,T52015,0.1145893489385361175
168,1920,M20543,0.1143389720752561178
169,1184,H85528,0.1142806075007625211
170,479,M57567,0.1141249611757613192
171,833,U29092,0.1137885816055108634
172,1294,X57974,0.1134878966274064371
173,452,H61410,0.1134468405090063303
174,186,T51023,0.1131717029644387917
175,1386,L05144,0.1130624931778096975
176,99,T52185,0.1128470368546679037
177,23,T59954,0.1124684859305764562
178,992,X15880,0.1124215073756584804
179,306,Z11692,0.1123618273561763914
180,1156,R39010,0.1123286615972034497
181,425,D63878,0.1120156233809399549
182,1284,X12496,0.1116672743421383007
183,1723,H16991,0.1104289036490586629
184,1898,U37673_,0.1099903156798853754
185,829,R75843,0.1098323228105424487
186,61,T48804,0.1096448534698475363
187,1318,X65873,0.1095793433948497597
188,1833,U10868,0.1095496993923703588
189,1972,M55422,0.1089302231181201730
190,1598,L06132,0.1089172432664307077
191,1445,M87772,0.1086051383883865906
192,1673,T67077,0.1080850491586200501
193,1921,R20666,0.1079092393053906473
194,730,T47584,0.1077007866563606253
195,578,J04794,0.1076899759101310750
196,1195,D13315_,0.1073555433176338614
197,1797,X68314,0.1071776745913781692
198,1879,R09502,0.1068927171694487033
199,871,D31887,0.1066504556580871732
200,801,X70326,0.1056838055571867052
201,150,M86553,0.1055968181718121013
202,1371,X75208,0.1055189200082999879
203,1313,H20512,0.1051584506675051767
204,32,T51574,0.1049394492388264766
205,570,R42501,0.1048205287181889211
206,1259,X89986,0.1046746843062542620
207,1196,T71001,0.1042073026693932647
208,1863,T91121,0.1038309666481456173
209,862,U18300,0.1036758896379803563
210,1530,M34344,0.1036589644905994145
211,882,H04235,0.1034485359026866558
212,1852,M64673,0.1031759573543666875
213,569,D55673,0.1028434111845339949
214,1556,M21186,0.1025620393305817224
215,1175,T60437,0.1017290014007692367
216,1858,H06061,0.1015009140759079997
217,1399,M59040,0.1012256964619804300
218,224,T70595,0.1012063162006646699
219,799,R54422,0.1011867121488025933
220,1572,D29641,0.1007124999810422583
221,611,R52000,0.1003569191819126960
222,1465,D00860,0.1002784358373005613
223,242,R82938,0.1001376268255238511
224,633,X06614,0.1000604190870260091
225,1333,H72234,0.0993394936388707350
226,82,H05803,0.0991247731917024311
227,1339,T98555,0.0990574727923339005
228,1249,H09665,0.0988951144137815152
229,156,X87838,0.0987862004740978072
230,78,T47645,0.0987349524389784516
231,251,T51613,0.0984839265831138899
232,1938,X70297,0.0984595557926142284
233,1210,T92259,0.0981538513241961841
234,844,T48939,0.0981139336727983036
235,1066,T70062,0.0977423311333889266
236,149,T53396_,0.0976748151883886084
237,952,R37114,0.0973149948401783593
238,1765,M75126,0.0970292763189213314
239,328,M65028,0.0969116413414741196
240,285,H64489,0.0960488681048083937
241,120,X04106,0.0960479888649179436
242,1383,H02258,0.0956567582317520149
243,1825,M55265,0.0942084529528015580
244,715,M14200_,0.0939404637735223869
245,1678,X53586,0.0937316297762436079
