Feature,value_embed
OQ->std_cycle_open,0.0038101996760815382
entropy_log_7_coef,0.0033997988793998957
10th delta-delta,0.0027888943441212177
det_TKEO_std_7_coef,0.0027148451190441847
det_TKEO_std_2_coef,0.0022313359659165144
Shimmer->Ampl_PQ3_classical_Schoentgen,0.0020238789729773998
entropy_shannon_7_coef,0.0017212792299687862
NHR->NHR_Praat_std,0.0008401362574659288
det_TKEO_mean4_10_coef,0.0000000000000000000
det_TKEO_std2_4_coef,0.0000000000000000000
det_TKEO_std4_1_coef,0.0000000000000000000
Ed2_9_coef,0.0000000000000000000
det_TKEO_std2_5_coef,0.0000000000000000000
det_TKEO_std2_3_coef,0.0000000000000000000
det_TKEO_std4_2_coef,0.0000000000000000000
det_TKEO_std2_6_coef,0.0000000000000000000
det_TKEO_std2_7_coef,0.0000000000000000000
Ed2_8_coef,0.0000000000000000000
det_TKEO_std2_8_coef,0.0000000000000000000
Ed2_5_coef,0.0000000000000000000
det_TKEO_std2_9_coef,0.0000000000000000000
Ed2_7_coef,0.0000000000000000000
det_TKEO_std2_10_coef,0.0000000000000000000
Ea2,0.0000000000000000000
Ed2_1_coef,0.0000000000000000000
Ed2_2_coef,0.0000000000000000000
Ed2_3_coef,0.0000000000000000000
Ed2_6_coef,0.0000000000000000000
Ed2_4_coef,0.0000000000000000000
det_TKEO_std2_2_coef,0.0000000000000000000
entropy_shannon4_10_coef,0.0000000000000000000
det_TKEO_std4_3_coef,0.0000000000000000000
entropy_log2_8_coef,0.0000000000000000000
Age,0.0000000000000000000
entropy_shannon2_9_coef,0.0000000000000000000
entropy_shannon2_10_coef,0.0000000000000000000
entropy_log2_1_coef,0.0000000000000000000
det_TKEO_std4_10_coef,0.0000000000000000000
det_TKEO_std4_9_coef,0.0000000000000000000
entropy_log2_2_coef,0.0000000000000000000
det_TKEO_std4_8_coef,0.0000000000000000000
entropy_log2_3_coef,0.0000000000000000000
entropy_log2_4_coef,0.0000000000000000000
entropy_log2_5_coef,0.0000000000000000000
det_TKEO_std4_7_coef,0.0000000000000000000
entropy_log2_6_coef,0.0000000000000000000
entropy_log2_7_coef,0.0000000000000000000
entropy_log2_9_coef,0.0000000000000000000
det_TKEO_std2_1_coef,0.0000000000000000000
det_TKEO_std4_6_coef,0.0000000000000000000
entropy_log2_10_coef,0.0000000000000000000
det_TKEO_mean2_1_coef,0.0000000000000000000
det_TKEO_mean2_2_coef,0.0000000000000000000
det_TKEO_mean2_3_coef,0.0000000000000000000
det_TKEO_mean2_4_coef,0.0000000000000000000
det_TKEO_mean2_5_coef,0.0000000000000000000
det_TKEO_std4_5_coef,0.0000000000000000000
det_TKEO_mean2_6_coef,0.0000000000000000000
det_TKEO_mean2_7_coef,0.0000000000000000000
det_TKEO_std4_4_coef,0.0000000000000000000
det_TKEO_mean2_8_coef,0.0000000000000000000
det_TKEO_mean2_9_coef,0.0000000000000000000
det_TKEO_mean2_10_coef,0.0000000000000000000
Ed2_10_coef,0.0000000000000000000
det_TKEO_mean4_9_coef,0.0000000000000000000
entropy_shannon3_1_coef,0.0000000000000000000
det_TKEO_mean3_4_coef,0.0000000000000000000
det_TKEO_mean3_6_coef,0.0000000000000000000
det_TKEO_mean3_7_coef,0.0000000000000000000
det_TKEO_mean3_8_coef,0.0000000000000000000
det_TKEO_mean3_9_coef,0.0000000000000000000
entropy_log4_8_coef,0.0000000000000000000
entropy_log4_7_coef,0.0000000000000000000
det_TKEO_mean3_10_coef,0.0000000000000000000
entropy_log4_6_coef,0.0000000000000000000
det_TKEO_std3_2_coef,0.0000000000000000000
entropy_log4_5_coef,0.0000000000000000000
