,index,Feature,value_MI
210,238,entropy_shannon3_9_coef,0.0297813368760933006
211,306,det_TKEO_std4_7_coef,0.0296421697828399555
212,282,entropy_log4_3_coef,0.0288796134005357974
213,271,entropy_shannon4_2_coef,0.0275311382425367235
214,309,det_TKEO_std4_10_coef,0.0270571739438758563
215,165,det_TKEO_mean_7_coef,0.0270397764710725852
216,293,det_TKEO_mean4_4_coef,0.0268369062632909383
217,195,entropy_log2_7_coef,0.0263500804788459053
218,159,det_TKEO_mean_1_coef,0.0255202279627284589
219,300,det_TKEO_std4_1_coef,0.0251217343100234025
220,184,entropy_shannon2_6_coef,0.0250793142080800724
221,219,Ea2,0.0249918778818285503
222,55,OQ->prc5_95,0.0246386220999197381
223,171,det_TKEO_std_3_coef,0.0243447226592561350
224,135,Ed_7_coef,0.0241947419687700283
225,241,entropy_log3_2_coef,0.0235964220298734428
226,192,entropy_log2_4_coef,0.0227062453224060601
227,212,det_TKEO_std2_4_coef,0.0221457860959803909
228,259,det_TKEO_mean3_10_coef,0.0215043089919033648
229,229,Ed2_10_coef,0.0212074357425480198
230,61,GNE->mean,0.0208745131629521907
231,139,entropy_shannon_1_coef,0.0201860987140334291
232,185,entropy_shannon2_7_coef,0.0199883293551905705
233,89,MFCC_6th coef,0.0195339539715240207
234,301,det_TKEO_std4_2_coef,0.0194648952556588650
235,47,Shimmer->Ampl_TKEO_prc25,0.0194200077304926833
236,231,entropy_shannon3_2_coef,0.0181659713566661996
237,307,det_TKEO_std4_8_coef,0.0180021636983898059
238,191,entropy_log2_3_coef,0.0177370082103116555
239,193,entropy_log2_5_coef,0.0164963837554017445
240,56,OQ->std_cycle_open,0.0159930144614253145
241,96,delta log energy,0.0156646987269473126
242,104,7th delta,0.0147381418830239141
243,64,GNE->SNR_SEO,0.0145767774404317318
244,276,entropy_shannon4_7_coef,0.0144840805176080778
245,298,det_TKEO_mean4_9_coef,0.0144724262400808268
246,308,det_TKEO_std4_9_coef,0.0143861588919085293
247,210,det_TKEO_std2_2_coef,0.0142496236164844081
248,202,det_TKEO_mean2_4_coef,0.0137167151669093101
249,272,entropy_shannon4_3_coef,0.0123197843407070184
250,223,Ed2_4_coef,0.0122234015762570092
251,42,Shimmer->Ampl_dB,0.0119078469834010825
252,128,Ea,0.0116455203972429810
253,283,entropy_log4_4_coef,0.0113150791693350516
254,26,Jitter->pitch_TKEO_prc75,0.0106322943681020909
255,251,det_TKEO_mean3_2_coef,0.0105807537270359298
256,267,det_TKEO_std3_8_coef,0.0105233154672399465
257,170,det_TKEO_std_2_coef,0.0104113716774019149
258,199,det_TKEO_mean2_1_coef,0.0099942559682597576
259,102,5th delta,0.0097739224884267895
260,57,OQ->std_cycle_closed,0.0087779049559140176
261,123,12th delta-delta,0.0071700590766636818
262,46,Shimmer->Ampl_TKEO_prc5,0.0064190415256837330
263,228,Ed2_9_coef,0.0059629812934083315
264,30,Shimmer->Ampl_abs_dif,0.0059260185658875919
265,221,Ed2_2_coef,0.0041693883520850239
266,98,1st delta,0.0038925748117846215
267,256,det_TKEO_mean3_7_coef,0.0028677537482053594
268,101,4th delta,0.0011993401043204344
269,20,Jitter->pitch_abs0th_perturb,0.0010557353471598585
270,75,VFER->NSR_SEO,0.0000000000000000000
271,127,Data_length,0.0000000000000000000
272,112,1st delta delta,0.0000000000000000000
273,114,3rd delta-delta,0.0000000000000000000
274,45,Shimmer->Ampl_TKEO_std,0.0000000000000000000
275,116,5th delta-delta,0.0000000000000000000
276,117,6th delta-delta,0.0000000000000000000
277,31,Shimmer->Ampl_dif_percent,0.0000000000000000000
278,299,det_TKEO_mean4_10_coef,0.0000000000000000000
279,132,Ed_4_coef,0.0000000000000000000
280,29,Jitter->pitch_range_5_95_perc,0.0000000000000000000
281,108,11th delta,0.0000000000000000000
282,44,Shimmer->Ampl_TKEO_mean,0.0000000000000000000
283,160,det_TKEO_mean_2_coef,0.0000000000000000000
284,204,det_TKEO_mean2_6_coef,0.0000000000000000000
285,203,det_TKEO_mean2_5_coef,0.0000000000000000000
286,18,Jitter->pitch_PQ5_classical_Baken,0.0000000000000000000
287,169,det_TKEO_std_1_coef,0.0000000000000000000
288,310,Age,0.0000000000000000000
289,111,delta delta 0th,0.0000000000000000000
290,49,Shimmer->Ampl_TKEO_prc95,0.0000000000000000000
291,236,entropy_shannon3_7_coef,0.0000000000000000000
292,36,Shimmer->Ampl_PQ5_classical_Baken,0.0000000000000000000
293,269,det_TKEO_std3_10_coef,0.0000000000000000000
294,80,IMF->NSR_TKEO,0.0000000000000000000
295,32,Shimmer->Ampl_PQ3_classical_Schoentgen,0.0000000000000000000
296,261,det_TKEO_std3_2_coef,0.0000000000000000000
297,258,det_TKEO_mean3_9_coef,0.0000000000000000000
298,69,VFER->entropy,0.0000000000000000000
299,68,VFER->std,0.0000000000000000000
300,67,VFER->mean,0.0000000000000000000
301,92,MFCC_9th coef,0.0000000000000000000
302,74,VFER->NSR_TKEO,0.0000000000000000000
303,93,MFCC_10th coef,0.0000000000000000000
304,63,GNE->SNR_TKEO,0.0000000000000000000
305,3,Jitter->F0_PQ5_classical_Baken,0.0000000000000000000
306,249,entropy_log3_10_coef,0.0000000000000000000
307,99,2nd delta,0.0000000000000000000
308,247,entropy_log3_8_coef,0.0000000000000000000
309,245,entropy_log3_6_coef,0.0000000000000000000
310,107,10th delta,0.0000000000000000000
311,311,Gender,0.0000000000000000000
