Feature,value_SHAP
det_TKEO_std_2_coef,0.0296351201832294464
entropy_log3_10_coef,0.0291954148560762405
entropy_shannon_8_coef,0.0268435850739479065
entropy_log4_4_coef,0.0247483570128679276
10th delta-delta,0.0244669839739799500
det_TKEO_std_7_coef,0.0243218932300806046
delta delta 0th,0.0239238403737545013
MFCC_0th coef,0.0233156904578208923
Jitter->F0_TKEO_mean,0.0224014446139335632
Shimmer->Ampl_PQ3_classical_Schoentgen,0.0206020455807447433
det_TKEO_std3_1_coef,0.0205358210951089859
entropy_shannon2_8_coef,0.0202147234231233597
Jitter->F0_FM,0.0185605064034461975
Ed_2_coef,0.0179296024143695831
OQ->std_cycle_open,0.0177664067596197128
entropy_shannon_7_coef,0.0151169691234827042
entropy_shannon4_7_coef,0.0000000000000000000
det_TKEO_std2_6_coef,0.0000000000000000000
det_TKEO_std2_7_coef,0.0000000000000000000
det_TKEO_std2_2_coef,0.0000000000000000000
det_TKEO_std2_5_coef,0.0000000000000000000
det_TKEO_std2_4_coef,0.0000000000000000000
det_TKEO_std2_3_coef,0.0000000000000000000
det_TKEO_std4_3_coef,0.0000000000000000000
det_TKEO_std2_8_coef,0.0000000000000000000
Ea2,0.0000000000000000000
det_TKEO_std2_9_coef,0.0000000000000000000
det_TKEO_std2_10_coef,0.0000000000000000000
det_TKEO_mean2_10_coef,0.0000000000000000000
Ed2_1_coef,0.0000000000000000000
Ed2_2_coef,0.0000000000000000000
Ed2_3_coef,0.0000000000000000000
Ed2_4_coef,0.0000000000000000000
Ed2_5_coef,0.0000000000000000000
Ed2_6_coef,0.0000000000000000000
Ed2_7_coef,0.0000000000000000000
Ed2_8_coef,0.0000000000000000000
det_TKEO_std4_2_coef,0.0000000000000000000
det_TKEO_std4_1_coef,0.0000000000000000000
Ed2_9_coef,0.0000000000000000000
det_TKEO_std2_1_coef,0.0000000000000000000
det_TKEO_std4_4_coef,0.0000000000000000000
det_TKEO_mean2_9_coef,0.0000000000000000000
det_TKEO_mean2_8_coef,0.0000000000000000000
entropy_shannon2_9_coef,0.0000000000000000000
entropy_shannon2_10_coef,0.0000000000000000000
entropy_log2_1_coef,0.0000000000000000000
Age,0.0000000000000000000
det_TKEO_std4_10_coef,0.0000000000000000000
entropy_log2_2_coef,0.0000000000000000000
det_TKEO_std4_9_coef,0.0000000000000000000
entropy_log2_3_coef,0.0000000000000000000
entropy_log2_4_coef,0.0000000000000000000
entropy_log2_5_coef,0.0000000000000000000
det_TKEO_std4_8_coef,0.0000000000000000000
entropy_log2_6_coef,0.0000000000000000000
entropy_log2_7_coef,0.0000000000000000000
det_TKEO_std4_7_coef,0.0000000000000000000
entropy_log2_8_coef,0.0000000000000000000
entropy_log2_9_coef,0.0000000000000000000
entropy_log2_10_coef,0.0000000000000000000
det_TKEO_mean2_1_coef,0.0000000000000000000
det_TKEO_mean2_2_coef,0.0000000000000000000
det_TKEO_mean2_3_coef,0.0000000000000000000
det_TKEO_mean2_4_coef,0.0000000000000000000
det_TKEO_mean2_5_coef,0.0000000000000000000
det_TKEO_std4_6_coef,0.0000000000000000000
det_TKEO_std4_5_coef,0.0000000000000000000
det_TKEO_mean2_6_coef,0.0000000000000000000
det_TKEO_mean2_7_coef,0.0000000000000000000
Ed2_10_coef,0.0000000000000000000
det_TKEO_mean4_10_coef,0.0000000000000000000
entropy_shannon3_4_coef,0.0000000000000000000
det_TKEO_mean4_9_coef,0.0000000000000000000
entropy_log4_7_coef,0.0000000000000000000
entropy_log4_6_coef,0.0000000000000000000
det_TKEO_mean3_4_coef,0.0000000000000000000
det_TKEO_mean3_5_coef,0.0000000000000000000
det_TKEO_mean3_6_coef,0.0000000000000000000
det_TKEO_mean3_7_coef,0.0000000000000000000
det_TKEO_mean3_8_coef,0.0000000000000000000
det_TKEO_mean3_9_coef,0.0000000000000000000
entropy_log4_5_coef,0.0000000000000000000
entropy_log4_3_coef,0.0000000000000000000
det_TKEO_mean3_10_coef,0.0000000000000000000
det_TKEO_std3_2_coef,0.0000000000000000000
entropy_log4_2_coef,0.0000000000000000000
det_TKEO_std3_3_coef,0.0000000000000000000
det_TKEO_std3_4_coef,0.0000000000000000000
det_TKEO_std3_5_coef,0.0000000000000000000
entropy_log4_1_coef,0.0000000000000000000
det_TKEO_std3_6_coef,0.0000000000000000000
det_TKEO_std3_7_coef,0.0000000000000000000
det_TKEO_std3_8_coef,0.0000000000000000000
det_TKEO_std3_9_coef,0.0000000000000000000
det_TKEO_std3_10_coef,0.0000000000000000000
entropy_shannon4_10_coef,0.0000000000000000000
entropy_shannon4_1_coef,0.0000000000000000000
entropy_shannon4_9_coef,0.0000000000000000000
entropy_shannon4_2_coef,0.0000000000000000000
entropy_shannon4_3_coef,0.0000000000000000000
entropy_shannon4_4_coef,0.0000000000000000000
entropy_shannon4_8_coef,0.0000000000000000000
entropy_shannon4_5_coef,0.0000000000000000000
det_TKEO_mean3_3_coef,0.0000000000000000000
entropy_log4_8_coef,0.0000000000000000000
entropy_shannon3_1_coef,0.0000000000000000000
entropy_log4_9_coef,0.0000000000000000000
entropy_shannon3_2_coef,0.0000000000000000000
entropy_shannon3_3_coef,0.0000000000000000000
entropy_shannon4_6_coef,0.0000000000000000000
det_TKEO_mean4_8_coef,0.0000000000000000000
entropy_shannon3_5_coef,0.0000000000000000000
