Feature,value_rfe
tqwt_skewnessValue_dec_33,269
ppq5Jitter,270
GNE_SNR_SEO,271
VFER_SNR_SEO,272
tqwt_entropy_shannon_dec_18,273
tqwt_meanValue_dec_31,274
tqwt_medianValue_dec_7,275
det_TKEO_std_8_coef,276
tqwt_energy_dec_20,277
tqwt_maxValue_dec_31,278
tqwt_skewnessValue_dec_27,279
tqwt_meanValue_dec_26,280
tqwt_minValue_dec_35,281
std_MFCC_9th_coef,282
locShimmer,283
tqwt_skewnessValue_dec_12,284
meanPeriodPulses,285
b2,286
tqwt_meanValue_dec_32,287
app_entropy_log_1_coef,288
tqwt_minValue_dec_29,289
mean_4th_delta,290
mean_12th_delta_delta,291
tqwt_energy_dec_35,292
tqwt_entropy_shannon_dec_32,293
tqwt_energy_dec_26,294
tqwt_skewnessValue_dec_20,295
std_MFCC_0th_coef,296
std_MFCC_6th_coef,297
mean_8th_delta,298
std_MFCC_7th_coef,299
tqwt_entropy_shannon_dec_11,300
GNE_mean,301
app_TKEO_std_1_coef,302
det_LT_entropy_shannon_6_coef,303
tqwt_skewnessValue_dec_11,304
tqwt_skewnessValue_dec_29,305
numPeriodsPulses,306
mean_delta_delta_0th,307
VFER_std,308
tqwt_skewnessValue_dec_35,309
f4,310
det_TKEO_mean_4_coef,311
tqwt_kurtosisValue_dec_27,312
tqwt_medianValue_dec_5,313
std_MFCC_8th_coef,314
std_MFCC_3rd_coef,315
det_TKEO_mean_6_coef,316
tqwt_energy_dec_9,317
tqwt_meanValue_dec_7,318
tqwt_meanValue_dec_4,319
det_entropy_shannon_5_coef,320
std_3rd_delta,321
std_Log_energy,322
Ed_6_coef,323
Ea,324
tqwt_entropy_log_dec_7,325
tqwt_stdValue_dec_15,326
tqwt_meanValue_dec_9,327
tqwt_meanValue_dec_3,328
locPctJitter,329
det_TKEO_std_5_coef,330
det_LT_TKEO_std_9_coef,331
det_LT_entropy_log_2_coef,332
tqwt_entropy_shannon_dec_6,333
mean_0th_delta,334
tqwt_TKEO_std_dec_31,335
std_11th_delta,336
tqwt_medianValue_dec_4,337
tqwt_stdValue_dec_31,338
VFER_mean,339
tqwt_meanValue_dec_13,340
GQ_std_cycle_open,341
tqwt_entropy_shannon_dec_23,342
mean_2nd_delta_delta,343
tqwt_kurtosisValue_dec_12,344
det_LT_TKEO_mean_4_coef,345
IMF_NSR_SEO,346
mean_12th_delta,347
tqwt_entropy_shannon_dec_7,348
tqwt_kurtosisValue_dec_11,349
