Feature,rank_mi,rank_SHAP,rank_embed,value_min,value_med,value_mean,value_harmo
mean_2nd_delta,360,42,93,42,93.0,165.0,80.34281796366129
tqwt_meanValue_dec_5,361,38,135,38,135.0,178.0,82.20691594039923
tqwt_maxValue_dec_23,362,509,499,362,499.0,456.6666666666667,445.6940055292808
mean_MFCC_6th_coef,363,5,110,5,110.0,159.33333333333334,14.161248374512352
tqwt_meanValue_dec_13,364,215,258,215,258.0,279.0,266.0899131091802
tqwt_medianValue_dec_6,365,691,678,365,678.0,578.0,529.8639926542812
tqwt_TKEO_mean_dec_4,366,613,552,366,552.0,510.3333333333333,485.8176854096547
tqwt_energy_dec_29,367,605,559,367,559.0,510.3333333333333,486.4919850584609
tqwt_skewnessValue_dec_28,368,36,131,36,131.0,178.33333333333334,78.6807713232183
tqwt_stdValue_dec_24,369,541,697,369,541.0,535.6666666666666,500.5693003589164
GNE_SNR_SEO,370,496,275,275,370.0,380.3333333333333,359.05803116180897
mean_11th_delta,371,358,323,323,358.0,350.6666666666667,349.4593643509782
tqwt_minValue_dec_23,372,581,554,372,554.0,502.3333333333333,482.7500073915392
tqwt_entropy_shannon_dec_34,373,155,51,51,155.0,193.0,104.38260387288625
tqwt_entropy_log_dec_1,374,9,297,9,297.0,226.66666666666666,25.607776838546073
meanNoiseToHarmHarmonicity,375,472,158,158,375.0,335.0,269.9195048033305
Ed_10_coef,376,486,529,376,486.0,463.6666666666667,454.0262957663128
tqwt_meanValue_dec_16,377,175,241,175,241.0,264.3333333333333,239.6896842824624
tqwt_energy_dec_33,378,257,59,59,257.0,231.33333333333334,127.73727258544993
tqwt_skewnessValue_dec_35,379,298,295,295,298.0,324.0,319.69113117569736
tqwt_maxValue_dec_5,380,567,575,380,567.0,507.3333333333333,489.047152246426
tqwt_minValue_dec_2,381,455,485,381,455.0,440.3333333333333,435.7722674775187
tqwt_medianValue_dec_33,382,227,53,53,227.0,220.66666666666666,115.87032632720123
tqwt_medianValue_dec_3,383,376,354,354,376.0,371.0,370.58085651838894
tqwt_stdValue_dec_21,384,540,722,384,540.0,548.6666666666666,513.6054011032742
tqwt_TKEO_std_dec_32,385,222,133,133,222.0,246.66666666666666,205.18847660363056
tqwt_maxValue_dec_34,386,558,607,386,558.0,517.0,497.4930720094978
det_TKEO_std_3_coef,387,680,735,387,680.0,600.6666666666666,554.0051842410528
std_MFCC_9th_coef,388,497,322,322,388.0,402.3333333333333,389.8644554484456
std_MFCC_1st_coef,389,242,218,218,242.0,283.0,265.7199606380775
det_LT_TKEO_mean_1_coef,390,221,412,221,390.0,341.0,315.2527506347618
tqwt_skewnessValue_dec_3,391,111,154,111,154.0,218.66666666666666,166.11240255490475
meanHarmToNoiseHarmonicity,392,378,444,378,392.0,404.6666666666667,402.7507713404183
tqwt_minValue_dec_34,393,302,57,57,302.0,250.66666666666666,128.2070612314515
tqwt_meanValue_dec_17,394,50,302,50,302.0,248.66666666666666,116.05716961011262
tqwt_kurtosisValue_dec_34,395,176,397,176,395.0,322.6666666666667,279.52857292366485
GQ_std_cycle_closed,396,564,622,396,564.0,527.3333333333334,507.95635640320603
tqwt_entropy_shannon_dec_9,397,503,382,382,397.0,427.3333333333333,421.06656043982326
tqwt_TKEO_mean_dec_32,398,141,405,141,398.0,314.6666666666667,248.4698975631621
tqwt_entropy_shannon_dec_10,399,412,460,399,412.0,423.6666666666667,422.0974680341168
Ed_1_coef,400,365,202,202,365.0,322.3333333333333,294.3998935214455
tqwt_entropy_shannon_dec_4,401,449,488,401,449.0,446.0,443.1237776309618
tqwt_TKEO_std_dec_4,402,394,503,394,402.0,433.0,427.7339971652326
Ed2_2_coef,403,127,139,127,139.0,223.0,170.94358074825192
mean_MFCC_10th_coef,404,268,212,212,268.0,294.6666666666667,274.63544126092785
std_2nd_delta,405,443,470,405,443.0,439.3333333333333,437.69220121977594
tqwt_maxValue_dec_21,406,554,545,406,545.0,501.6666666666667,491.56388513134186
mean_delta_log_energy,407,86,250,86,250.0,247.66666666666666,165.8841594419028
mean_4th_delta,408,181,364,181,364.0,317.6666666666667,279.7699726620502
tqwt_maxValue_dec_36,409,199,88,88,199.0,232.0,159.28851328811297
tqwt_entropy_shannon_dec_21,410,184,86,86,184.0,226.66666666666666,153.83263254402328
tqwt_maxValue_dec_2,411,393,415,393,411.0,406.3333333333333,406.10468251131397
tqwt_minValue_dec_3,412,303,15,15,303.0,243.33333333333334,41.43979463119924
det_LT_TKEO_mean_3_coef,413,608,633,413,608.0,551.3333333333334,531.3662693323022
tqwt_kurtosisValue_dec_12,414,169,309,169,309.0,297.3333333333333,259.3167168439865
tqwt_stdValue_dec_4,415,703,740,415,703.0,619.3333333333334,578.7634319722267
tqwt_medianValue_dec_22,416,121,16,16,121.0,184.33333333333334,41.00135758892207
tqwt_maxValue_dec_4,417,487,473,417,473.0,459.0,456.92461045457935
tqwt_stdValue_dec_28,418,532,701,418,532.0,550.3333333333334,526.4471916841339
det_LT_entropy_shannon_3_coef,419,601,664,419,601.0,561.3333333333334,539.9031190432881
tqwt_TKEO_mean_dec_28,420,297,180,180,297.0,299.0,265.4042553191489
mean_MFCC_12th_coef,421,235,237,235,237.0,297.6666666666667,276.49705000255494
tqwt_meanValue_dec_10,422,325,186,186,325.0,311.0,277.1891253640091
meanAutoCorrHarmonicity,423,389,64,64,389.0,292.0,145.9160981918112
tqwt_energy_dec_4,424,280,75,75,280.0,259.6666666666667,155.73694029850748
