Feature,value_boruta
tqwt_TKEO_std_dec_15,668
tqwt_entropy_log_dec_2,668
app_entropy_shannon_8_coef,668
app_entropy_log_5_coef,668
det_entropy_shannon_8_coef,668
meanNoiseToHarmHarmonicity,668
app_LT_entropy_log_1_coef,684
tqwt_entropy_shannon_dec_2,684
Ed2_6_coef,684
tqwt_stdValue_dec_16,684
app_TKEO_std_8_coef,684
Ed2_7_coef,714
det_TKEO_std_9_coef,714
Ed2_8_coef,714
Ea2,714
ddaShimmer,714
app_det_TKEO_mean_7_coef,714
app_det_TKEO_mean_9_coef,714
app_det_TKEO_mean_8_coef,714
app_entropy_shannon_10_coef,714
app_entropy_log_10_coef,714
app_entropy_log_9_coef,714
app_entropy_log_7_coef,714
app_entropy_log_6_coef,714
app_entropy_log_4_coef,714
app_entropy_shannon_7_coef,714
app_entropy_shannon_5_coef,714
tqwt_stdValue_dec_36,714
app_LT_entropy_log_3_coef,714
det_LT_TKEO_std_8_coef,714
app_LT_TKEO_std_9_coef,714
app_LT_TKEO_std_10_coef,714
det_entropy_shannon_6_coef,714
tqwt_entropy_log_dec_4,714
tqwt_TKEO_mean_dec_2,714
tqwt_TKEO_mean_dec_4,714
tqwt_maxValue_dec_15,714
tqwt_maxValue_dec_14,714
tqwt_TKEO_mean_dec_35,714
tqwt_stdValue_dec_2,714
tqwt_stdValue_dec_4,714
tqwt_maxValue_dec_3,714
tqwt_stdValue_dec_9,714
tqwt_stdValue_dec_15,714
tqwt_stdValue_dec_35,714
app_LT_TKEO_std_8_coef,714
det_LT_entropy_log_4_coef,714
app_LT_TKEO_mean_10_coef,714
app_LT_TKEO_mean_7_coef,714
app_LT_entropy_shannon_1_coef,714
app_LT_entropy_shannon_2_coef,714
app_LT_entropy_shannon_3_coef,714
app_LT_entropy_shannon_5_coef,714
app_LT_entropy_shannon_6_coef,714
app_LT_entropy_shannon_7_coef,714
app_LT_entropy_shannon_9_coef,714
app_LT_entropy_shannon_10_coef,714
app_LT_entropy_log_2_coef,714
app_LT_entropy_log_6_coef,714
app_LT_entropy_log_7_coef,714
app_LT_entropy_log_8_coef,714
app_LT_entropy_log_9_coef,714
app_LT_entropy_log_10_coef,714
app_LT_TKEO_mean_6_coef,714
app_LT_TKEO_mean_9_coef,714
gender,714
